Sol,Activity,min_rod_temp,avg_rod_temp,max_rod_temp,min_wind_speed,avg_wind_speed,max_wind_speed,wind_dir_volatility,Solar longitude (deg),age_factor
34,Runout,184.79058518518522,215.2472567046776,261.7310037037037,2.8042727272727275,6.775815267551589,10.485422222222224,9.605366673216896,316.21,0.2878787878787879
35,No runout,185.49215555555557,216.70501634493908,261.40805555555556,2.1172125,5.835819977602126,8.466633333333332,16.463982221362752,316.79,0.30303030303030304
36,Runout,185.4746962962963,216.22965193602693,263.3685703703704,1.774561797752809,5.153518207656893,9.906377777777776,20.398880727523615,317.38,0.3181818181818182
37,No runout,186.18858888888886,214.11625326711615,264.4696592592593,2.492833333333333,5.789399281557672,8.885822222222222,14.05844269832736,317.97,0.3333333333333333
38,No runout,185.56449259259261,214.74376864078963,258.39154814814816,3.294911111111111,7.6118636065890435,12.122877777777775,4.76737464901936,318.56,0.3484848484848485
39,No runout,186.23202962962964,215.97978422809828,262.5061,2.069767441860465,5.866971398198712,9.329766666666666,14.472924578144939,319.14,0.36363636363636365
40,No runout,185.93434444444446,216.18325517292635,261.41694074074076,2.3260410958904107,6.102377442991222,9.73442222222222,12.596417322293801,319.73,0.3787878787878788
41,No runout,185.77897407407406,217.58818333551196,268.3081296296296,1.7555444444444444,5.318804939890608,9.53651111111111,23.38899971610057,320.31,0.3939393939393939
42,No runout,186.29315555555556,217.55056811411006,268.58454074074075,1.0411470588235294,5.1380157884109385,7.742277777777777,19.751029074644823,320.89,0.4090909090909091
43,Runout,187.56420370370373,218.44840291505162,270.1893,1.7919882352941174,4.679807819850272,9.428688888888887,25.48663298137474,321.47,0.42424242424242425
44,No runout,188.93089629629628,218.69598939411836,267.34415185185185,1.2376626506024095,4.239760718960591,7.126924242424242,12.251759687143107,322.05,0.4393939393939394
45,No runout,188.74264444444444,218.73800626097858,267.5504148148148,0.5573373493975904,4.671313111772331,8.260944444444444,11.182974102610677,322.63,0.45454545454545453
46,No runout,188.8518185185185,218.73110000321196,266.8131148148148,0.297025,5.2920081939174235,10.74665,7.845141344967179,323.21,0.4696969696969697
47,Runout,189.18365185185186,218.73302885714284,267.80527037037035,0.712591836734694,4.484959690519212,8.229597701149425,12.172795884480127,323.79,0.48484848484848486
48,No runout,188.71125555555557,218.74414703771538,266.34217777777775,1.6994375,4.664256389424691,8.572036585365854,11.790066682212762,324.36,0.5
49,Runout,189.5735222222222,218.2850773159013,263.6742,2.161057142857143,4.972627431335781,8.12898888888889,10.21387748351174,324.94,0.5151515151515151
50,No runout,190.74208518518515,216.9795535798212,259.63272222222224,2.088170731707317,5.454821061026125,9.107078651685391,11.022801667965583,325.51,0.5303030303030303
51,Runout,190.41716296296295,217.90135202831038,262.5676481481482,1.1791587301587303,4.059127774062747,7.5898,16.861645049399595,326.08,0.5454545454545454
52,No runout,190.87358148148144,218.2804248765432,265.6345481481481,0.9882777777777778,3.809380462442706,6.7663,17.266533241090677,326.65,0.5606060606060606
53,No runout,190.4857777777778,217.92295268181817,263.7951962962963,0.7154918032786884,3.955996592176019,7.725544444444444,19.668242207119572,327.23,0.5757575757575758
54,Runout,190.17807407407406,218.28183569125244,263.5226888888889,1.2560675675675674,4.0213662459075294,7.844911111111111,20.722113865253103,327.79,0.5909090909090909
55,Runout,189.93126296296296,217.6234662500752,261.3808888888889,1.9916410256410255,4.4668873165288465,7.453233333333334,18.788909140411892,328.36,0.6060606060606061
56,No runout,189.89992222222222,217.79789305151567,261.8816703703704,1.4513725490196077,4.340757954163338,7.941355555555555,17.12592312032988,328.93,0.6212121212121212
57,Runout,189.6016481481482,217.79567416667686,261.3890925925926,1.341592105263158,4.618154098928505,7.460422222222222,17.016692596934238,329.5,0.6363636363636364
58,No runout,189.64370740740742,217.05418563667718,260.0797962962963,1.966625,5.351641121241902,8.170033333333333,9.333112404706105,330.07,0.6515151515151515
59,No runout,189.4420814814815,217.2152351590414,261.0301185185185,2.067022727272727,5.343579698174073,9.165155555555556,12.53905119516957,330.63,0.6666666666666666
60,Runout,189.08927777777782,217.45513569207284,261.0668666666667,2.3508023255813955,4.866178999864895,8.453155555555556,9.923454720855926,331.19,0.6818181818181818
61,No runout,189.57137037037037,217.70257120975785,261.9697555555556,1.8199220779220784,4.615927718410589,7.371888888888889,9.864706071940784,331.76,0.696969696969697
62,No runout,189.50905185185184,217.93129632472065,262.95122592592594,1.7022564102564104,4.508969530518302,7.242477777777777,12.774386039435718,332.32,0.7121212121212122
63,No runout,189.250662962963,218.02210047368422,263.2489074074074,1.2933417721518987,4.4631401846400225,7.131144444444445,15.426590174836603,332.88,0.7272727272727273
64,No runout,189.08538518518517,217.8431297090909,266.14344814814814,1.924575,4.285996507963264,6.672977777777778,17.533577481357902,333.44,0.7424242424242424
65,No runout,188.87266666666665,217.58763023939937,263.1403962962963,1.8277195121951215,4.5443247994073435,6.572444444444444,11.772201909267446,334.0,0.7575757575757576
