bin,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_HORIZONTAL_WIND_SPEED,BMY_WIND_DIRECTION,file_id
2020-05-29 11:30:00,274.32465333333334,272.3114777777778,267.6167177777778,5.941946996466431,282.4052143698469,0535
2020-05-29 11:45:00,274.6760922222222,273.71825666666666,269.6391977777778,4.968359011627907,248.8717151162791,0535
2020-05-29 12:00:00,274.81511666666665,273.9489222222222,269.7186922222222,6.330868938401049,282.6533407601573,0535
2020-05-29 12:15:00,274.2541111111111,273.5617088888889,269.40468666666663,5.869200886262925,267.0745657311669,0535
2020-05-29 12:30:00,273.6322466666667,272.5440066666667,267.5686944444445,6.145479616306955,262.48459472422064,0535
2020-05-29 12:45:00,271.9429245283019,271.1346093229745,266.6285860155383,5.8743002450980395,150.5308161764706,0535
2020-05-29 13:00:00,270.2315877777778,269.2890566666667,265.20938,5.866592465753425,283.2988196347032,0535
2020-05-29 13:15:00,268.2764466666667,267.27383333333336,263.66702,6.358197294250282,308.6848444193912,0535
2020-05-29 13:30:00,266.75149555555555,266.00292333333334,262.98118,6.395754406580494,299.2463384253819,0535
2020-05-29 13:45:00,264.22889555555554,263.14468222222223,259.6690411111111,5.793462486002239,314.640758118701,0535
2020-05-29 14:00:00,261.5419422222222,260.30563555555557,256.83863444444444,5.847125140924464,318.4072108229989,0535
2020-05-29 14:15:00,258.60519,257.14165777777777,253.60811999999999,5.603465324384787,308.152014541387,0535
2020-05-29 14:30:00,255.2415111111111,253.69896666666668,249.98149555555554,3.6548474148802015,316.6670731399748,0535
2020-05-29 14:45:00,251.47378222222224,249.46172,244.99178333333336,2.7209665775401066,310.75907754010694,0535
2020-05-29 15:00:00,246.83008888888887,244.3303811111111,239.40211444444444,2.91618202247191,307.96108988764047,0535
2020-05-29 15:15:00,241.77369444444446,238.97046444444445,233.85807222222223,2.879912222222222,309.05373000000003,0535
2020-05-29 15:30:00,236.61585555555556,233.47886111111112,228.09238444444446,3.668858888888889,304.14443444444447,0535
2020-05-29 15:45:00,231.7756811111111,228.6683688888889,223.65115555555556,4.342660734149055,300.63868965517247,0535
2020-05-29 16:00:00,227.5704022222222,224.5605977777778,219.90885222222224,4.146213333333334,300.0830466666667,0535
2020-05-29 16:15:00,224.03500666666665,221.21826333333334,217.07989111111112,4.353495555555556,299.68230555555556,0535
2020-05-29 16:30:00,221.26085333333336,218.68712111111114,215.33004111111111,4.274157777777778,299.0203088888889,0535
2020-05-29 16:45:00,219.27186444444442,216.89889444444444,213.98132111111113,2.542794444444444,302.1347611111112,0535
2020-05-29 17:00:00,217.58369222222223,215.30899777777776,212.41383555555555,2.686991061452514,299.11001675977656,0535
2020-05-29 17:15:00,216.03984333333332,213.80506555555556,211.3014288888889,2.3131608938547488,305.8317452513967,0535
2020-05-29 17:30:00,214.55671888888887,212.29089222222223,209.62944000000002,2.2725045045045045,306.6038051801802,0535
2020-05-29 17:45:00,213.2639011111111,211.07045333333332,208.51138,2.6102860335195532,302.0080368715084,0535
2020-05-29 18:00:00,212.20735555555555,210.2254988888889,208.21691444444446,3.8835862068965517,299.6392803114572,0535
2020-05-29 18:15:00,211.51469555555556,209.6772388888889,208.07522333333333,5.001041111111111,299.25120111111113,0535
2020-05-29 18:30:00,210.58578111111112,208.57812888888887,206.59822777777777,4.572010000000001,299.4254877777778,0535
2020-05-29 18:45:00,209.58745666666667,207.68316222222222,205.92914555555555,4.174925472747497,300.2694104560623,0535
2020-05-29 19:00:00,208.6197111111111,206.63749,204.76190666666665,4.504327777777778,299.95387999999997,0535
2020-05-29 19:15:00,207.79827444444442,206.02770111111113,204.59819666666667,5.912016666666666,299.55249444444445,0535
2020-05-29 19:30:00,207.71470666666667,206.1305088888889,205.14615222222224,5.911152222222222,299.73512666666664,0535
2020-05-29 19:45:00,207.14647444444444,205.32441666666668,203.78573111111112,5.086675555555555,300.26090222222217,0535
2020-05-29 20:00:00,206.2821511111111,204.38371333333333,202.6680877777778,4.867432703003337,300.3034004449388,0535
2020-05-29 20:15:00,205.24361444444443,203.24484333333334,201.24658666666664,4.7234360400444935,299.98260066740824,0535
2020-05-29 20:30:00,204.31103555555555,202.33306777777779,200.40119222222222,5.1675088888888885,299.73711,0535
2020-05-29 20:45:00,203.55200555555555,201.6833777777778,200.11330666666666,5.620623333333333,299.8765111111111,0535
2020-05-29 21:00:00,203.12417888888888,201.35871555555556,200.0237422222222,6.0684322222222224,300.15816555555557,0535
2020-05-29 21:15:00,202.42280555555556,200.47543333333334,198.6654677777778,5.432300668151448,300.12341202672604,0535
