sol,temp_range,environmental_stress_index,temp_min,temp_max,temp_avg,mars_season,mission_phase,solar_longitude_deg,dust_season_risk,orbital_thermal_factor,wind_speed_avg,wind_speed_max
78,82.85234,0.15705447,181.66336,264.51572,216.0508,Winter_North,Checkout,341.2076,0.0,0.4894625,4.575216,6.7207046
79,83.22208,0.14749235,181.59656,264.81863,215.86208,Winter_North,Checkout,341.7557,0.0,0.48468104,4.5109954,6.975299
80,81.52793,0.16218174,182.2947,263.82263,215.76225,Winter_North,Checkout,342.2964,0.0,0.4799655,5.179022,8.455711
81,82.50165,0.128639,182.31851,264.82016,215.91447,Winter_North,Checkout,342.83762,0.0,0.47524732,4.522854,6.6446385
82,84.36548,0.12315943,181.88495,266.25043,216.49815,Winter_North,Checkout,343.3822,0.0,0.47050187,4.165272,7.3401446
83,85.11283,0.12606204,181.88818,267.001,216.81363,Winter_North,Checkout,343.923,0.0,0.46579212,4.0070744,7.479077
84,85.23274,0.12635121,181.5413,266.77405,215.98285,Winter_North,Checkout,344.46082,0.0,0.46111134,4.290064,6.8138776
85,83.87118,0.1277945,181.80647,265.67764,216.62288,Winter_North,Checkout,345.0024,0.0,0.45640126,4.281022,6.1857014
86,83.787964,0.13274248,182.7864,266.57437,216.77963,Winter_North,Checkout,345.5408,0.0,0.45172274,4.1069055,7.4638443
87,82.67566,0.10051823,181.81885,264.4945,215.58652,Winter_North,Checkout,346.08145,0.0,0.4470289,4.8591967,9.006033
88,83.80052,0.10136518,181.84003,265.64053,216.03096,Winter_North,Checkout,346.6146,0.0,0.44240487,4.5522404,6.6033444
89,83.77691,0.101361156,182.81694,266.59384,216.91396,Winter_North,Checkout,347.15,0.0,0.4377663,4.205246,7.576678
90,84.9497,0.09672438,181.90208,266.85178,216.14027,Winter_North,Checkout,347.68762,0.0,0.43311384,4.082247,7.9516454
91,83.451355,0.10309541,182.39865,265.85,216.97124,Winter_North,Checkout,348.2178,0.0,0.4285318,4.073951,7.1020117
92,31.985512,0.4514495,233.74123,265.72675,254.7837,Winter_North,Checkout,348.431,0.0,0.42669088,3.2936814,4.767667
93,84.077194,0.54092413,181.16322,265.24042,226.71654,Winter_North,Checkout,349.638,0.0,0.41628867,5.785448,9.012988
94,82.76133,0.5319895,181.83514,264.59647,216.2764,Winter_North,Checkout,349.8708,0.0,0.4142865,4.4516745,6.827618
95,82.449036,0.5542445,181.15819,263.6072,215.04265,Winter_North,Checkout,350.34125,0.0,0.41024464,5.194172,8.845511
96,83.56421,0.56272393,181.73637,265.30057,215.74762,Winter_North,Checkout,350.8724,0.0,0.4056888,5.046479,7.354816
97,83.25687,0.5551553,182.40077,265.65765,216.23349,Winter_North,Checkout,351.4002,0.0,0.40116963,4.449444,7.6936445
98,84.25694,0.5498222,181.29617,265.5531,215.69197,Winter_North,Checkout,351.92828,0.0,0.39665648,4.2562275,7.1967
99,84.85457,0.2717036,181.2987,266.15326,216.19023,Winter_North,Checkout,352.4536,0.0,0.39217556,4.158917,6.834924
100,85.89195,0.13604175,180.68825,266.5802,216.14957,Winter_North,Checkout,352.979,0.0,0.38770303,4.2994757,7.7198987
101,84.52495,0.13977107,180.42433,264.94928,215.67706,Winter_North,Primary,353.50656,0.0,0.3832215,4.264046,6.9260554
102,83.06942,0.12808567,181.19633,264.26575,215.50255,Winter_North,Primary,354.0274,0.0,0.37880707,5.080447,7.5910335
103,82.694115,0.10483262,180.9188,263.6129,215.4251,Winter_North,Primary,354.5481,0.0,0.37440374,4.542661,7.351625
104,84.566574,0.1390256,181.39296,265.95953,216.63849,Winter_North,Primary,355.0716,0.0,0.36998704,3.7105968,5.449759
105,83.98079,0.14672673,180.87526,264.85605,216.27235,Winter_North,Primary,355.5926,0.0,0.36560228,3.9546676,6.215911
106,82.42145,0.14648691,181.17256,263.59402,215.40892,Winter_North,Primary,356.1109,0.0,0.3612513,4.246744,6.350633
107,83.276344,0.15336263,181.05801,264.33435,216.15074,Winter_North,Primary,356.6318,0.0,0.3568899,3.929461,7.035897
108,28.040257,0.47441947,237.8598,265.90005,256.05328,Winter_North,Primary,356.839,0.0,0.35515833,3.4045894,4.5065536
110,83.2447,0.4267505,182.09839,265.8037,216.38728,Winter_North,Primary,358.15,0.0,0.3442471,4.4344664,7.0868945
111,53.72456,0.44280177,212.29517,266.0197,242.57834,Winter_North,Primary,359.1,0.0,0.33639106,4.7614574,9.258445
112,84.770775,0.45412648,180.6708,265.4416,215.93575,Winter_North,Primary,359.29456,0.0,0.33478773,4.7614574,9.258445
113,84.90514,0.46141702,180.56099,265.46613,216.127,Winter_North,Primary,359.7288,0.0,0.33121577,4.7614574,9.258445
114,83.4577,0.46850106,181.04303,264.50073,216.35725,Summer_North,Primary,144.2418,0.0,0.3642109,4.7614574,9.258445
115,83.65948,0.4588559,181.05531,264.71478,215.69711,Spring_North,Primary,0.75730306,0.0,0.32279488,4.7614574,9.258445
116,83.12849,0.26284784,180.66779,263.79626,216.11275,Spring_North,Primary,1.2656,0.0,0.31865412,5.0564213,6.4856324
117,81.7891,0.2890725,180.8969,262.68597,215.6687,Spring_North,Primary,1.7745353,0.0,0.31452242,4.185957,7.6932445
118,84.72241,0.113544695,179.92104,264.64343,215.84998,Spring_North,Primary,2.2864,0.0,0.31038174,4.1102757,6.4082594
119,84.26629,0.2181505,180.46722,264.73352,209.94307,Spring_North,Primary,2.690515,0.0,0.30712333,3.4797106,5.5280676
121,81.99962,0.2151852,179.42984,261.20413,214.72742,Spring_North,Primary,3.78,0.0,0.29838705,4.09965,6.759033
122,82.28531,0.3317001,179.65742,261.94272,228.59291,Spring_North,Primary,4.666,0.0,0.29133606,5.4963584,6.5373573
123,83.09834,0.33199593,179.48657,262.5849,214.6072,Spring_North,Primary,4.884182,0.0,0.28960732,4.076539,6.143059
124,82.4222,0.31220087,180.1202,262.5424,215.4391,Spring_North,Primary,5.329,0.0,0.2860923,3.9565291,6.352732
125,83.410065,0.3159426,180.17644,263.5865,215.61185,Spring_North,Primary,5.8334,0.0,0.28212208,3.8808005,6.4951463
126,82.5434,0.31660154,180.52943,263.07285,214.68694,Spring_North,Primary,6.3398485,0.0,0.2781527,4.198685,6.0594606
127,84.10615,0.2785374,179.71033,263.81647,215.45827,Spring_North,Primary,6.8392,0.0,0.27425593,4.225881,6.9716067
128,84.59661,0.28402656,180.00853,264.60513,215.3901,Spring_North,Primary,7.339172,0.0,0.27037153,3.855371,6.1849046
129,84.55415,0.05523744,179.48665,264.0408,215.47429,Spring_North,Primary,7.8426,0.0,0.26647788,4.1204343,6.238409
130,84.778725,0.052910015,179.513,264.29172,215.38666,Spring_North,Primary,8.343,0.0,0.26262558,4.0671782,6.4318275
131,82.87525,0.055009414,179.54817,262.42343,214.61342,Spring_North,Primary,8.840384,0.0,0.2588144,4.1587358,6.7752223
132,83.60854,0.04709977,180.40619,264.01474,215.66643,Spring_North,Primary,9.3414,0.0,0.25499377,4.0764647,6.1718
133,84.12639,0.04936215,179.51338,263.63977,215.94012,Spring_North,Primary,9.8398,0.0,0.25121167,3.9199705,5.8994327
134,82.901855,0.043717224,180.71127,263.61313,215.53004,Spring_North,Primary,10.338214,0.0,0.24744831,4.112028,6.5591
135,83.98932,0.038198706,179.96515,263.95447,215.54187,Spring_North,Primary,10.8336,0.0,0.24372675,4.226888,6.82
136,82.8753,0.044127557,180.21855,263.09384,215.20355,Spring_North,Primary,11.3296,0.0,0.24001977,4.258899,6.77625
137,82.92988,0.043629266,179.86082,262.7907,215.21458,Spring_North,Primary,11.828,0.0,0.23631446,4.139951,7.027581
138,82.78449,0.040393844,180.13513,262.91962,215.60605,Spring_North,Primary,12.3194,0.0,0.23268074,4.0721188,6.759033
139,82.6357,0.041693922,179.25342,261.8891,215.02963,Spring_North,Primary,12.810808,0.0,0.22906663,4.1791754,7.404423
140,82.55805,0.024871547,179.42984,261.98788,215.21648,Spring_North,Primary,13.3058,0.0,0.22544628,4.14584,6.889344
141,81.846054,0.027508488,180.0242,261.87027,215.15813,Spring_North,Primary,13.7982,0.0,0.22186525,4.059777,6.9353223
142,82.24696,0.026614327,179.83116,262.07812,214.72742,Spring_North,Primary,14.287616,0.0,0.21832626,4.111925,6.3152
143,83.34009,0.0239649,179.20497,262.54504,215.11731,Spring_North,Primary,14.7806,0.0,0.21478225,4.0072155,5.884352
144,81.99962,0.024959821,179.3679,261.36752,214.90047,Spring_North,Primary,15.271,0.0,0.21127777,4.1578617,7.0409327
145,81.995834,0.025687922,179.09969,261.09552,214.33115,Spring_North,Primary,15.758424,0.0,0.20781551,4.0718837,6.2866354
146,81.19512,0.024909902,179.17993,260.37506,214.97597,Spring_North,Primary,16.2494,0.0,0.2043494,4.017865,7.1611233
147,81.64535,0.023285458,178.71922,260.36456,214.69707,Spring_North,Primary,16.7378,0.0,0.20092301,4.121991,7.8996916
