datetime,sol,end,look_ahead,activity,solar_longitude_deg,date,year,month,day,hour,day_of_year,weekday
2019-04-11 09:14:00,132,133.0,,Dust Devil Search Imaging and IDA Temperature Monitoring,9.3,2019-04-11,2019,4,11,9,101,3
2019-04-13 10:32:00,134,135.0,,Science Panorama Imaging,10.3,2019-04-13,2019,4,13,10,103,5
2019-04-16 12:30:00,137,138.0,*,"AM IDC Tau, Dust Devil Imaging, and Aeolian Imaging of West Footpad",11.79,2019-04-16,2019,4,16,12,106,1
2019-04-18 13:48:00,139,140.0,*,Dust Devil Imaging,12.77,2019-04-18,2019,4,18,13,108,3
2019-04-20 15:07:00,141,143.0,*,IDA Retirement Pose and Rolling Stone Imaging; IDA No Load Characterization,13.76,2019-04-20,2019,4,20,15,110,5
2019-04-23 17:04:00,144,150.0,,"Sunrise and Sunset Imaging; SEIS, APSS, and RAD Data Acquisition",15.23,2019-04-23,2019,4,23,17,113,1
2019-04-30 21:39:00,151,152.0,,"AM IDC Tau, IDC Sky Flat Imaging, and RAD Calibrations; IDA Safed",18.65,2019-04-30,2019,4,30,21,120,1
2019-05-02 22:57:00,153,155.0,,Aerosol Sky Survey,19.61,2019-05-02,2019,5,2,22,122,3
2019-05-06 00:55:00,156,157.0,,Additional Science Panorama Imaging,21.06,2019-05-06,2019,5,6,0,126,0
2019-05-08 02:13:00,158,159.0,*,HP3 Diagnostic Hammering #3,22.03,2019-05-08,2019,5,8,2,128,2
2019-05-10 03:32:00,160,161.0,*,AM Tau and HP3 Stereo Imaging,22.99,2019-05-10,2019,5,10,3,130,4
2019-06-16 03:04:00,196,202.0,,"Routine Activities, ICC Dust Devil Movie, and IDA Temperature Monitoring",39.91,2019-06-16,2019,6,16,3,167,6
2019-06-23 07:38:00,203,209.0,*,HP3 SSA Lift Part 1 and Part 2; Imaging,43.13,2019-06-23,2019,6,23,7,174,6
2019-06-30 12:13:00,210,222.0,,Arm Grapple Adjustment Activity and Grapple Release of HP3 SSA,46.34,2019-06-30,2019,6,30,12,181,6
2019-07-13 20:43:00,223,229.0,,"IDS Stereo Imaging of HP3 SSA and Exposed Mole, Grapple Stow, Post Grapple Stow IDS Stereo Imaging of HP3 SSA and Mole Hole, and Close up Imaging of Mole Hole",52.26,2019-07-13,2019,7,13,20,194,5
2019-07-24 03:16:00,233,236.0,,Checkout Adjusted IDS Retirement Pose and Standoff Imaging of Mole Hole,56.78,2019-07-24,2019,7,24,3,205,2
2019-07-28 05:53:00,237,242.0,,IDS Course Scoop Positioning Next to HP3 Mole Hole; IDS Place Flat Scoop on Soil and Press Down,58.58,2019-07-28,2019,7,28,5,209,6
2019-08-03 09:49:00,243,249.0,,"IDS Scoop Tip on Soil Above Hole and on Side, Upload New LME Full Curve and Set to Default, and SEIS Flash Maintenance and Tilt Measurement",61.28,2019-08-03,2019,8,3,9,215,5
2019-08-10 14:25:00,250,256.0,,IDS Soil Interaction and Put IDA in Retirement Pose in Preparation for Solar Conjunction,64.43,2019-08-10,2019,8,10,14,222,5
2019-08-17 19:00:00,257,263.0,,"Mole Hole Imaging, Put IDA in Retirement Pose in Preparation for Solar Conjunction, and Configure Instruments and Spacecraft for Conjunction",67.57,2019-08-17,2019,8,17,19,229,5
2019-08-24 23:35:00,264,284.0,,Solar Conjunction; Reduced Instrument Data Collection,70.71,2019-08-24,2019,8,24,23,236,5
2019-09-15 13:22:00,285,291.0,,"Continue to Increase Temperatures Within Thermal Enclosure, Power APSS Sensors ON, Power SEIS Instrument ON, and Perform IDS Temperature Monitoring Activity",80.13,2019-09-15,2019,9,15,13,258,6
2019-09-21 17:19:00,291,297.0,,"IDA Wrist Actuator Characterization, Re-Center SEIS, and Meteor Search",82.83,2019-09-21,2019,9,21,17,264,5
2019-09-28 21:55:00,298,304.0,,"IDA Horizontal Pin of Mole, Long Shadow Images, and HP3 Parameter Table Upload",85.98,2019-09-28,2019,9,28,21,271,5
2019-10-06 02:31:00,305,310.0,,"IDA Vertical Pin of Mole, First Opportunity to Hammer with Mole, Long Shadow Images, and Resumption of HP3 RAD Hourly Measurements",89.15,2019-10-06,2019,10,6,2,279,6
2019-10-12 06:27:00,311,317.0,,Second and Third Opportunities to Hammer with Mole and Long Shadow Images,91.87,2019-10-12,2019,10,12,6,285,5
2019-10-19 11:04:00,318,324.0,,"Additional Opportunities to Hammer with Mole and Meteor Search, Long Shadow Search, and Dust Devil Search Images",95.05,2019-10-19,2019,10,19,11,292,5
2019-10-26 15:40:00,325,331.0,,"Retract Scoop from Surface Contact and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",98.26,2019-10-26,2019,10,26,15,299,5
2019-11-02 20:16:00,332,338.0,,"Mole Recovery Activities and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",101.47,2019-11-02,2019,11,2,20,306,5
2019-11-10 00:52:00,339,345.0,,"Mole Recovery Activities and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",104.71,2019-11-10,2019,11,10,0,314,6
2019-11-17 05:28:00,346,352.0,,"Mole Recovery Activities, Final Mini-Tactical Planning Cycle, Aeolian Change and Long Shadow Images, Transition to new SEIS/APSS Flight Software, SEIS Flash Maintenance, and New Block Libraries Uplink",107.97,2019-11-17,2019,11,17,5,321,6
2019-11-24 10:04:00,353,365.0,,"Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",111.25,2019-11-24,2019,11,24,10,328,6
2019-12-07 18:37:00,366,372.0,,"HP3 Mole Recovery Operations, HP3 Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",117.41,2019-12-07,2019,12,7,18,341,5
2019-12-14 23:13:00,373,379.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",120.76,2019-12-14,2019,12,14,23,348,5
2019-12-22 03:49:00,380,399.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",124.15,2019-12-22,2019,12,22,3,356,6
2020-01-11 16:58:00,400,406.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, Landed Model Energy Fault Response Enabling, Overnight Battery Characterization, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",134.0,2020-01-11,2020,1,11,16,11,5
2020-01-18 21:34:00,407,413.0,,"HP3 Mole Recovery Operations, New WUTT Installation, APSS/SEIS DBLT Dumps, SEIS Flash Maintenance and Tilt Measurement, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",137.52,2020-01-18,2020,1,18,21,18,5
2020-01-26 02:10:00,414,419.0,,"HP3 Mole Recovery Operations and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",141.08,2020-01-26,2020,1,26,2,26,6
2020-02-01 06:06:00,420,426.0,,"HP3 Mole Recovery Operations, New WUTT Installation, Update LME Curve, APSS/SEIS DBLT Dumps, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",144.16,2020-02-01,2020,2,1,6,32,5
2020-02-08 10:42:00,427,433.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, Update LME Curve, and Long Shadow, Aeolian Change, Dust Devil Search and Meteor Baseline Search Images",147.8,2020-02-08,2020,2,8,10,39,5
2020-02-15 15:18:00,434,440.0,,"HP3 Mole Recovery Operations, HP3 RAD High Rate and Calibrations, New WUTT Installation, APSS/SEIS DBLT Dumps, SEIS VBB Recentering and Calibration, and Long Shadow, Aeolian Change, and Dust Devil Search Images",151.47,2020-02-15,2020,2,15,15,46,5
2020-02-22 19:54:00,441,453.0,,"HP3 Mole Recovery Operations, HP3 RAD High Rate, Calibrations, and Hourly, New WUTT Installation, BST Dumps, SEIS Flash Maintenance and Tilt Measurement, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",155.2,2020-02-22,2020,2,22,19,53,5
2020-03-07 04:27:00,454,460.0,,"HP3 Mole Recovery Operations, HP3 RAD High Rate, SEIS VBB3 Characterization, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",162.23,2020-03-07,2020,3,7,4,67,5
2020-03-14 09:03:00,461,467.0,,"Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",166.09,2020-03-14,2020,3,14,9,74,5
2020-03-21 13:39:00,468,474.0,,"HP3 Mole Recovery Operations, SEIS Flash Maintenance and Tilt Measurement, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",169.99,2020-03-21,2020,3,21,13,81,5
2020-03-28 18:16:00,475,481.0,,"Command Loss Timer Set to 25 Days, SEIS Data Processing to L2, APSS Data Processing to L1, Deimos Eclipse Movie, and Aeolian Change and Tau Images",173.95,2020-03-28,2020,3,28,18,88,5
2020-04-04 22:52:00,482,488.0,,"HP3 Mole Recovery Operations, APSS Data Processing to L2, Overnight Battery Characterization, and Long Shadow, Aeolian Change, Tau Images",177.95,2020-04-04,2020,4,4,22,95,5
2020-04-12 03:29:00,489,494.0,,"HP3 Mole Recovery Operations, APSS Data Processing to L3, and Long Shadow, Aeolian Change, Dust Devil Search, Cloud, and Tau Images",182.0,2020-04-12,2020,4,12,3,103,6
2020-04-18 07:26:00,495,501.0,,"Phobos Eclipse RAD Observations and Imaging, Aeolian Change, Dust Devil Search, and Tau Images, and SEIS Flash Maintenance and Tilt Measurement",185.52,2020-04-18,2020,4,18,7,109,5
2020-04-25 12:03:00,502,508.0,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and SSA Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",189.66,2020-04-25,2020,4,25,12,116,5
2020-05-02 16:41:00,509,515.0,,"HP3 Mole Recovery Operations and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",193.85,2020-05-02,2020,5,2,16,123,5
2020-05-09 21:18:00,516,522.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, WUTT Installation, and Long Shadow, Dust Devil Search, and Tau Images",198.09,2020-05-09,2020,5,9,21,130,5
2020-05-17 01:56:00,523,529.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, SEIS VBB Recentering and Tilt Measurements, MAVEN No_Op Test, MEX Demonstration, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",202.37,2020-05-17,2020,5,17,1,138,6
2020-05-24 06:34:00,530,542.0,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and Thermal Conductivity Measurements, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",206.7,2020-05-24,2020,5,24,6,145,6
2020-06-06 15:12:00,543,549.0,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and Other Calibrations, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",214.84,2020-06-06,2020,6,6,15,158,5
2020-06-13 19:51:00,550,556.0,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, Disable IDA Survival Heaters, IDA Temperature Monitoring, Update LME Curves, and Long Shadow, Aeolian Change, Dust Devil Search, Meteor Search, and Tau Images",219.27,2020-06-13,2020,6,13,19,165,5
