sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
127,4.225881,Spring_North,215.45827,0.2785374,0.0,6.8392,Primary,0
128,3.855371,Spring_North,215.3901,0.28402656,0.0,7.339172,Primary,0
129,4.1204343,Spring_North,215.47429,0.05523744,0.0,7.8426,Primary,0
130,4.0671782,Spring_North,215.38666,0.052910015,0.0,8.343,Primary,1
131,4.1587358,Spring_North,214.61342,0.055009414,0.0,8.840384,Primary,0
132,4.0764647,Spring_North,215.66643,0.04709977,0.0,9.3414,Primary,1
133,3.9199705,Spring_North,215.94012,0.04936215,0.0,9.8398,Primary,0
134,4.112028,Spring_North,215.53004,0.043717224,0.0,10.338214,Primary,1
135,4.226888,Spring_North,215.54187,0.038198706,0.0,10.8336,Primary,0
136,4.258899,Spring_North,215.20355,0.044127557,0.0,11.3296,Primary,0
137,4.139951,Spring_North,215.21458,0.043629266,0.0,11.828,Primary,1
138,4.0721188,Spring_North,215.60605,0.040393844,0.0,12.3194,Primary,0
139,4.1791754,Spring_North,215.02963,0.041693922,0.0,12.810808,Primary,1
140,4.14584,Spring_North,215.21648,0.024871547,0.0,13.3058,Primary,0
141,4.059777,Spring_North,215.15813,0.027508488,0.0,13.7982,Primary,1
142,4.111925,Spring_North,214.72742,0.026614327,0.0,14.287616,Primary,0
143,4.0072155,Spring_North,215.11731,0.0239649,0.0,14.7806,Primary,0
144,4.1578617,Spring_North,214.90047,0.024959821,0.0,15.271,Primary,1
145,4.0718837,Spring_North,214.33115,0.025687922,0.0,15.758424,Primary,0
146,4.017865,Spring_North,214.97597,0.024909902,0.0,16.2494,Primary,0
147,4.121991,Spring_North,214.69707,0.023285458,0.0,16.7378,Primary,0
148,4.09965,Spring_North,214.42006,0.023248011,0.0,17.228151,Primary,0
149,4.0303674,Spring_North,214.79897,0.023802053,0.0,17.7122,Primary,0
150,4.0361447,Spring_North,214.78366,0.021364557,0.0,18.1986,Primary,0
151,4.2036495,Spring_North,214.23802,0.026206547,0.0,18.68694,Primary,1
152,4.0923867,Spring_North,214.60345,0.025602596,0.0,19.169,Primary,0
153,3.9658458,Spring_North,214.37029,0.028437402,0.0,19.651445,Primary,1
154,4.0943494,Spring_North,214.387,0.0278069,0.0,20.1368,Primary,0
155,4.027385,Spring_North,214.60815,0.028065149,0.0,20.6198,Primary,0
156,3.9363885,Spring_North,214.13423,0.03276229,0.0,21.100252,Primary,1
157,4.0925183,Spring_North,214.55148,0.03215257,0.0,21.5842,Primary,0
158,4.069087,Spring_North,214.36125,0.02401602,0.0,22.0656,Primary,1
159,4.131553,Spring_North,213.67268,0.0290669,0.0,22.548908,Primary,0
160,4.18841,Spring_North,214.32596,0.031478386,0.0,23.026,Primary,1
161,4.0444503,Spring_North,214.714,0.032408588,0.0,23.5054,Primary,0
162,4.0569134,Spring_North,213.39046,0.034375235,0.0,23.987303,Primary,0
163,3.9660208,Spring_North,214.14479,0.031765927,0.0,24.4628,Primary,0
164,4.0215707,Spring_North,213.47098,0.03319885,0.0,24.938272,Primary,0
165,4.1040387,Spring_North,213.77786,0.033186235,0.0,25.4172,Primary,0
166,4.01147,Spring_North,214.16066,0.032440513,0.0,25.8936,Primary,0
167,3.1331718,Spring_North,219.55402,0.1522481,0.0,26.084,Primary,0
169,4.8759685,Spring_North,210.15552,0.21554093,0.0,27.51,Primary,0
170,4.2043357,Spring_North,213.4616,0.21693696,0.0,27.792484,Primary,0
171,5.589822,Spring_North,222.08029,0.32594845,0.0,28.38947,Primary,0
172,4.247015,Spring_North,213.84164,0.3230056,0.0,28.7592,Primary,0
173,4.157437,Spring_North,213.40108,0.3228681,0.0,29.216667,Primary,0
174,4.296665,Spring_North,213.8092,0.3196119,0.0,29.6856,Primary,0
175,4.147185,Spring_North,213.95929,0.24505928,0.0,30.1572,Primary,0
176,4.150713,Spring_North,213.31613,0.23150295,0.0,30.631454,Primary,0
177,4.2453823,Spring_North,213.72302,0.23042661,0.0,31.099,Primary,0
178,4.2039785,Spring_North,213.22777,0.02421463,0.0,31.5671,Primary,0
179,4.25818,Spring_North,213.57303,0.024279125,0.0,32.039,Primary,0
180,4.349139,Spring_North,213.52887,0.028728584,0.0,32.5078,Primary,0
181,4.3516774,Spring_North,213.01665,0.032925777,0.0,32.974506,Primary,0
182,4.2535434,Spring_North,213.50755,0.027710991,0.0,33.4448,Primary,0
183,4.3002067,Spring_North,213.43755,0.022252848,0.0,33.9122,Primary,0
184,4.5000496,Spring_North,212.63397,0.03745706,0.0,34.38203,Primary,0
185,4.3462644,Spring_North,213.21007,0.033199426,0.0,34.8462,Primary,0
186,4.2988896,Spring_North,212.95186,0.031366438,0.0,35.3126,Primary,0
187,4.2092648,Spring_North,212.24411,0.038274787,0.0,35.781425,Primary,0
188,4.4633946,Spring_North,212.61452,0.04322557,0.0,36.244,Primary,0
189,4.447749,Spring_North,212.15283,0.043188654,0.0,36.707123,Primary,0
190,4.2646985,Spring_North,212.43736,0.04248953,0.0,37.1734,Primary,0
191,4.235129,Spring_North,212.21085,0.03978342,0.0,37.6374,Primary,0
192,4.148677,Spring_North,211.84758,0.04463019,0.0,38.099525,Primary,0
