Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
243,249,,"IDS Scoop Tip on Soil Above Hole and on Side, Upload New LME Full Curve and Set to Default, and SEIS Flash Maintenance and Tilt Measurement",061.28,2019-08-03 09:49
250,256,,IDS Soil Interaction and Put IDA in Retirement Pose in Preparation for Solar Conjunction,064.43,2019-08-10 14:25
257,263,,"Mole Hole Imaging, Put IDA in Retirement Pose in Preparation for Solar Conjunction, and Configure Instruments and Spacecraft for Conjunction",067.57,2019-08-17 19:00
264,284,,Solar Conjunction; Reduced Instrument Data Collection,070.71,2019-08-24 23:35
285,291,,"Continue to Increase Temperatures Within Thermal Enclosure, Power APSS Sensors ON, Power SEIS Instrument ON, and Perform IDS Temperature Monitoring Activity",080.13,2019-09-15 13:22
291,297,,"IDA Wrist Actuator Characterization, Re-Center SEIS, and Meteor Search",082.83,2019-09-21 17:19
298,304,,"IDA Horizontal Pin of Mole, Long Shadow Images, and HP3 Parameter Table Upload",085.98,2019-09-28 21:55
305,310,,"IDA Vertical Pin of Mole, First Opportunity to Hammer with Mole, Long Shadow Images, and Resumption of HP3 RAD Hourly Measurements",089.15,2019-10-06 02:31
311,317,,Second and Third Opportunities to Hammer with Mole and Long Shadow Images,091.87,2019-10-12 06:27
318,324,,"Additional Opportunities to Hammer with Mole and Meteor Search, Long Shadow Search, and Dust Devil Search Images",095.05,2019-10-19 11:04
325,331,,"Retract Scoop from Surface Contact and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",098.26,2019-10-26 15:40
332,338,,"Mole Recovery Activities and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",101.47,2019-11-02 20:16
339,345,,"Mole Recovery Activities and Long Shadow, Aeolian Change, Dust Devil Search, and Meteor Search Images",104.71,2019-11-10 00:52
346,352,,"Mole Recovery Activities, Final Mini-Tactical Planning Cycle, Aeolian Change and Long Shadow Images, Transition to new SEIS/APSS Flight Software, SEIS Flash Maintenance, and New Block Libraries Uplink",107.97,2019-11-17 05:28
353,365,,"Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",111.25,2019-11-24 10:04
366,372,,"HP3 Mole Recovery Operations, HP3 Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",117.41,2019-12-07 18:37
373,379,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",120.76,2019-12-14 23:13
380,399,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",124.15,2019-12-22 03:49
400,406,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, Landed Model Energy Fault Response Enabling, Overnight Battery Characterization, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",134.00,2020-01-11 16:58
407,413,,"HP3 Mole Recovery Operations, New WUTT Installation, APSS/SEIS DBLT Dumps, SEIS Flash Maintenance and Tilt Measurement, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",137.52,2020-01-18 21:34
414,419,,"HP3 Mole Recovery Operations and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",141.08,2020-01-26 02:10
420,426,,"HP3 Mole Recovery Operations, New WUTT Installation, Update LME Curve, APSS/SEIS DBLT Dumps, and Aeolian Change, Dust Devil Search, and Meteor Baseline Search Images",144.16,2020-02-01 06:06
427,433,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations, Update LME Curve, and Long Shadow, Aeolian Change, Dust Devil Search and Meteor Baseline Search Images",147.80,2020-02-08 10:42
434,440,,"HP3 Mole Recovery Operations, HP3 RAD High Rate and Calibrations, New WUTT Installation, APSS/SEIS DBLT Dumps, SEIS VBB Recentering and Calibration, and Long Shadow, Aeolian Change, and Dust Devil Search Images",151.47,2020-02-15 15:18
441,453,,"HP3 Mole Recovery Operations, HP3 RAD High Rate, Calibrations, and Hourly, New WUTT Installation, BST Dumps, SEIS Flash Maintenance and Tilt Measurement, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",155.20,2020-02-22 19:54
454,460,,"HP3 Mole Recovery Operations, HP3 RAD High Rate, SEIS VBB3 Characterization, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",162.23,2020-03-07 04:27
461,467,,"Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",166.09,2020-03-14 09:03
468,474,,"HP3 Mole Recovery Operations, SEIS Flash Maintenance and Tilt Measurement, and Long Shadow, Aeolian Change, Dust Devil Search, and Cloud Images",169.99,2020-03-21 13:39
475,481,,"Command Loss Timer Set to 25 Days, SEIS Data Processing to L2, APSS Data Processing to L1, Deimos Eclipse Movie, and Aeolian Change and Tau Images",173.95,2020-03-28 18:16
482,488,,"HP3 Mole Recovery Operations, APSS Data Processing to L2, Overnight Battery Characterization, and Long Shadow, Aeolian Change, Tau Images",177.95,2020-04-04 22:52
489,494,,"HP3 Mole Recovery Operations, APSS Data Processing to L3, and Long Shadow, Aeolian Change, Dust Devil Search, Cloud, and Tau Images",182.00,2020-04-12 03:29
495,501,,"Phobos Eclipse RAD Observations and Imaging, Aeolian Change, Dust Devil Search, and Tau Images, and SEIS Flash Maintenance and Tilt Measurement",185.52,2020-04-18 07:26
502,508,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and SSA Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",189.66,2020-04-25 12:03
509,515,,"HP3 Mole Recovery Operations and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",193.85,2020-05-02 16:41
516,522,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, WUTT Installation, and Long Shadow, Dust Devil Search, and Tau Images",198.09,2020-05-09 21:18
523,529,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, SEIS VBB Recentering and Tilt Measurements, MAVEN No_Op Test, MEX Demonstration, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",202.37,2020-05-17 01:56
530,542,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and Thermal Conductivity Measurements, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",206.70,2020-05-24 06:34
543,549,,"HP3 Mole Recovery Operations, HP3 RAD Hourly and Other Calibrations, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",214.84,2020-06-06 15:12
550,556,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, Disable IDA Survival Heaters, IDA Temperature Monitoring, Update LME Curves, and Long Shadow, Aeolian Change, Dust Devil Search, Meteor Search, and Tau Images",219.27,2020-06-13 19:51
557,563,,"HP3 Mole Recovery Operations, HP3 RAD Calibrations and SSA Monitoring, Battery Characterization, IDA Temperature Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",223.74,2020-06-21 00:31
564,576,,"HP3 RAD Calibrations and SSA Monitoring, Battery Characterization, IDA Temperature Monitoring, and Long Shadow, Aeolian Change, Dust Devil Search, and Tau Images",228.23,2020-06-28 05:11
577,583,,"Unsafe APSS and Power ON (All Sensors), Retract IDA, Mole Pit Mosaic, Solar Array Vibration Image Campaign, Install WUTT, and Tau Images",236.64,2020-07-11 13:52
584,590,,"SEIS Tilt Measurement and Flash Maintenance, HP3 Unsafe and RAD Single Measurements, and Dust Devil and Tau Images",241.18,2020-07-18 18:33
